Handle,Title,Vendor,SKU,Retail Price,Cost Per Item
knit-bunny-plush-lila,Knit Bunny Plush,Apple Park & Organic Farm Buddies,TP0745,45.0,29.25
knit-bunny-plush-luella,Knit Bunny Plush,Apple Park & Organic Farm Buddies,TMC84,45.0,29.25
knit-bunny-plush-benny,Knit Bunny Plush,Apple Park & Organic Farm Buddies,TMC81,45.0,29.25
knit-bunny-plush-charlotte,Knit Bunny Plush,Apple Park & Organic Farm Buddies,TMC82,45.0,29.25
knit-bunny-plush-luca,Knit Bunny Plush,Apple Park & Organic Farm Buddies,TMC83,45.0,29.25
knit-bunny-plush-finn,Knit Bunny Plush,Apple Park & Organic Farm Buddies,TMC80,45.0,29.25
knit-patterned-bunny-plush-duke,Knit Patterned Bunny Plush,Apple Park & Organic Farm Buddies,TMC76,28.0,18.2
knit-patterned-bunny-plush-valentine,Knit Patterned Bunny Plush,Apple Park & Organic Farm Buddies,TMC79,28.0,18.2
knit-patterned-bunny-plush-daisy,Knit Patterned Bunny Plush,Apple Park & Organic Farm Buddies,TMC78,28.0,18.2
knit-patterned-bunny-plush-dapper-bunny,Knit Patterned Bunny Plush,Apple Park & Organic Farm Buddies,TMC75,28.0,18.2
knit-patterned-bunny-plush-sparkle,Knit Patterned Bunny Plush,Apple Park & Organic Farm Buddies,TMC77,28.0,18.2
knit-plush-benny-badger,Knit Plush - Benny Badger,Apple Park & Organic Farm Buddies,TMG74,45.0,29.25
kozy-koala-blankie,Kozy Koala - Blankie,Apple Park & Organic Farm Buddies,TF205,18.0,11.7
kozy-koala-pacifier-buddy,Kozy Koala - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF217,20.0,13.0
kozy-koala-plush,Kozy Koala - Plush,Apple Park & Organic Farm Buddies,TF199,22.0,14.3
kozy-koala-teething-rattle,Kozy Koala - Teething Rattle,Apple Park & Organic Farm Buddies,TF202,16.0,10.4
little-bear-plush-blooming-saguaro,Little Bear Plush,Apple Park & Organic Farm Buddies,TP1960,28.0,18.2
little-bear-plush-sage-horses,Little Bear Plush,Apple Park & Organic Farm Buddies,TP0379,28.0,18.2
little-bear-plush-minty-bear-bloom,Little Bear Plush,Apple Park & Organic Farm Buddies,TP1011,28.0,18.2
little-bear-plush-wild-horses,Little Bear Plush,Apple Park & Organic Farm Buddies,TP1012,28.0,18.2
little-bear-plush-safari-party,Little Bear Plush,Apple Park & Organic Farm Buddies,TP0730,28.0,18.2
little-bunny-plush-wildflower-picnic,Little Bunny Plush,Apple Park & Organic Farm Buddies,TP1959,28.0,18.2
little-bunny-plush-lilac-ikebana,Little Bunny Plush,Apple Park & Organic Farm Buddies,TP0378,28.0,18.2
little-bunny-plush-mini-mushroom,Little Bunny Plush,Apple Park & Organic Farm Buddies,TP0728,28.0,18.2
little-bunny-plush-pink-flower,Little Bunny Plush,Apple Park & Organic Farm Buddies,TP0726,26.0,16.9
little-bunny-plush-white,Little Bunny Plush,Apple Park & Organic Farm Buddies,TM981,28.0,18.2
little-bunny-plush-cocoa-brown-vintage-floral,Little Bunny Plush,Apple Park & Organic Farm Buddies,TM979,28.0,18.2
little-bunny-plush-grey-vintage-floral,Little Bunny Plush,Apple Park & Organic Farm Buddies,TM980,28.0,18.2
maggie-monkey-blankie,Maggie Monkey - Blankie,Apple Park & Organic Farm Buddies,TF340,12.0,7.8
